name,s_price,o_price,rating,rating_count
SAMSUNG Crystal 4K Neo Series 138 cm (55 inch) Ultra HD (4K) LED Smart Tizen TV with (Black) (2022 Mod...,"₹47,990",,,"14,075 Ratings & 1,510 Reviews"
Cellecor 80 cm (32 inch) HD Ready LED TV,"₹8,399",,,
Cellecor 80 cm (32 inch) Full HD LED Smart Android TV,"₹10,999",,,14 Ratings & 0 Reviews
,,,,
,,,,
KODAK 7XPRO Series 80 cm (32 inch) HD Ready LED Smart Android TV,"₹9,499",,,"36,023 Ratings & 7,918 Reviews"
MarQ By Flipkart 80 cm (32 inch) HD Ready LED TV,"₹8,999",,,"8,600 Ratings & 1,038 Reviews"
Mi 5A 80 cm (32 inch) HD Ready LED Smart Android TV with Dolby Audio (2022 Model),"₹13,999",,,"3,23,119 Ratings & 30,714 Reviews"
Adsun 80 cm (32 inch) HD Ready LED Smart Android Based TV,"₹8,264",,,"12,973 Ratings & 1,852 Reviews"
OnePlus U1S 164 cm (65 inch) Ultra HD (4K) LED Smart Android TV with Far field and Dolby Audio,"₹61,999",,,"13,341 Ratings & 1,403 Reviews"
Blaupunkt Cybersound 126 cm (50 inch) Ultra HD (4K) LED Smart Android TV with Dolby MS12 & 60W Speaker...,"₹26,999",,,"4,535 Ratings & 1,161 Reviews"
TOSHIBA V35KP 80 cm (32 inch) HD Ready LED Smart Android TV with DTS Virtual X (2022 Model),"₹11,490",,,"1,089 Ratings & 218 Reviews"
iFFALCON by TCL H72 139 cm (55 inch) QLED Ultra HD (4K) Smart Android TV Hands Free Voice Control & Wo...,"₹36,999",,,296 Ratings & 51 Reviews
Adsun Smart Series 60 cm (24 inch) HD Ready LED Smart Android Based TV,"₹6,649",,,"12,973 Ratings & 1,852 Reviews"
Adsun Frameless 80 cm (32 inch) HD Ready LED Smart Android Based TV,"₹8,399",,,"12,973 Ratings & 1,852 Reviews"
Hisense A6GE Series 108 cm (43 inch) Ultra HD (4K) LED Smart Android TV with Dolby Vision and Dolby At...,"₹24,990",,,"1,436 Ratings & 217 Reviews"
Vu GloLED 164 cm (65 inch) Ultra HD (4K) LED Smart Google TV with DJ Subwoofer 104W,"₹54,999",,,"4,463 Ratings & 746 Reviews"
Adsun 60 cm (24 inch) HD Ready LED TV,"₹5,499",,,"12,973 Ratings & 1,852 Reviews"
Cellecor 80 cm (32 inch) Full HD LED Smart Android TV,"₹9,599",,,
realme 80 cm (32 inch) Full HD LED Smart Android TV,"₹16,499",,,"9,323 Ratings & 1,251 Reviews"
SONY Bravia 125.7 cm (50 inch) Ultra HD (4K) LED Smart Google TV,"₹52,999",,,"2,417 Ratings & 486 Reviews"
Thomson R9 80 cm (32 inch) HD Ready LED TV,"₹7,499",,,"57,955 Ratings & 8,316 Reviews"
Mi 4A 100 cm (40 inch) Full HD LED Smart Android TV,"₹19,999",,,"3,23,119 Ratings & 30,714 Reviews"
Cellecor 80 cm (32 inch) Full HD LED Smart Android TV,"₹10,999",,,
Adsun 80 cm (32 inch) HD Ready LED TV,"₹7,299",,,"12,973 Ratings & 1,852 Reviews"
SAMSUNG 80 cm (32 inch) HD Ready LED Smart Tizen TV with Voice Search,"₹15,990",,,"8,483 Ratings & 905 Reviews"
Mi 5A Pro 80 cm (32 inch) HD Ready LED Smart Android TV with 24W Dolby Audio & 1.5GB RAM (2022 Model),"₹16,999",,,157 Ratings & 13 Reviews
Cellecor 80 cm (32 inch) HD Ready LED TV,"₹8,399",,,
Dyanora Sigma 108 cm (43 inch) Full HD LED Smart Linux TV with 40 Watt Box Speakers & Bezel-Less Desig...,"₹14,499",,,51 Ratings & 7 Reviews
,,,,
,,,,
Thomson 9R PRO 126 cm (50 inch) Ultra HD (4K) LED Smart Android TV,"₹24,999",,,"13,915 Ratings & 3,261 Reviews"
"Dyanora 60 cm (24 inch) HD Ready LED Smart Android Based TV with Noise Reduction, Android 9.0, Powerfu...","₹6,599",,,"3,616 Ratings & 468 Reviews"
Hyundai 126 cm (50 inch) Ultra HD (4K) LED Smart WebOS TV,"₹30,990",,,17 Ratings & 9 Reviews
BeethoSOL 109 cm (43 inch) Full HD LED Smart Android TV,"₹15,999",,,214 Ratings & 24 Reviews
Mi 5A 80 cm (32 inch) HD Ready LED Smart Android TV with Dolby Audio (2022 Model),"₹13,999",,,"3,23,119 Ratings & 30,714 Reviews"
Adsun 80 cm (32 inch) HD Ready LED Smart Android Based TV,"₹8,264",,,"12,973 Ratings & 1,852 Reviews"
LG 108 cm (43 inch) Full HD LED Smart WebOS TV,"₹28,990",,,"8,001 Ratings & 691 Reviews"
Coocaa 80 cm (32 inch) HD Ready LED Smart Coolita TV with Dolby Audio and Eye Care Technology,"₹8,999",,,"17,877 Ratings & 2,745 Reviews"
Adsun 60 cm (24 inch) HD Ready LED TV,"₹5,499",,,"12,973 Ratings & 1,852 Reviews"
Adsun Smart Series 60 cm (24 inch) HD Ready LED Smart Android Based TV,"₹6,649",,,"12,973 Ratings & 1,852 Reviews"
Thomson OATHPRO Series 139 cm (55 inch) Ultra HD (4K) LED Smart Android TV with Dolby Digital Plus & D...,"₹30,999",,,"27,799 Ratings & 7,242 Reviews"
Blaupunkt 126 cm (50 Inch) QLED Ultra HD (4K) Smart Google TV With Dolby Atmos & Far-Field Mic,"₹35,999",,,601 Ratings & 157 Reviews
SAMSUNG 108 cm (43 inch) Full HD LED Smart Tizen TV,"₹27,990",,,"4,523 Ratings & 488 Reviews"
TOSHIBA C350LP 108 cm (43 inch) Ultra HD (4K) LED Smart Google TV with Dolby Vision Atmos and REGZA En...,"₹26,990",,,150 Ratings & 36 Reviews
Adsun 80 cm (32 inch) HD Ready LED TV,"₹7,299",,,"12,973 Ratings & 1,852 Reviews"
Cellecor 80 cm (32 inch) Full HD LED Smart Android TV,"₹9,599",,,
Nokia 109 cm (43 inch) Full HD LED Smart Android TV,"₹23,999",,,"1,490 Ratings & 261 Reviews"
SAMSUNG Crystal 4K 125 cm (50 inch) Ultra HD (4K) LED Smart Tizen TV,"₹43,990",,,"11,168 Ratings & 1,136 Reviews"
Adsun Frameless 80 cm (32 inch) HD Ready LED Smart Android Based TV,"₹8,399",,,"12,973 Ratings & 1,852 Reviews"
Cellecor 80 cm (32 inch) Full HD LED Smart Android TV,"₹10,999",,,
Thomson 9R PRO 139 cm (55 inch) Ultra HD (4K) LED Smart Android TV,"₹28,999",,,"13,915 Ratings & 3,261 Reviews"
T-Series 80 cm (32 inch) HD Ready LED Smart Android TV,"₹10,990",,,4 Ratings & 0 Reviews
OnePlus U1S 126 cm (50 inch) Ultra HD (4K) LED Smart Android TV with Far field and Dolby Audio,"₹37,999",,,"13,341 Ratings & 1,403 Reviews"
Coocaa Frameless 108 cm (43 inch) Full HD LED Smart Google TV with HDR 14 Dolby Audio and Eye care tec...,"₹18,999",,,20 Ratings & 5 Reviews
,,,,
,,,,
Mi 5A 80 cm (32 inch) HD Ready LED Smart Android TV with Dolby Audio (2022 Model),"₹13,999",,,"3,23,119 Ratings & 30,714 Reviews"
Adsun Smart Series 60 cm (24 inch) HD Ready LED Smart Android Based TV,"₹6,649",,,"12,973 Ratings & 1,852 Reviews"
Dyanora Sigma 80 cm (32 inch) HD Ready LED Smart Linux TV with 30 Watt Box Speakers & Bezel-Less Desig...,"₹8,499",,,51 Ratings & 7 Reviews
LG 80 cm (32 inch) Full HD LED Smart WebOS TV,"₹18,299",,,4 Ratings & 1 Reviews
Adsun Frameless 80 cm (32 inch) HD Ready LED Smart Android Based TV,"₹8,399",,,"12,973 Ratings & 1,852 Reviews"
Adsun 60 cm (24 inch) HD Ready LED TV,"₹5,499",,,"12,973 Ratings & 1,852 Reviews"
SONY Bravia 108 cm (43 inch) Ultra HD (4K) LED Smart Google TV,"₹47,999",,,"2,417 Ratings & 486 Reviews"
KODAK 60 cm (24 inch) HD Ready LED TV,"₹5,999",,,"9,686 Ratings & 1,123 Reviews"
"Hisense 139 cm (55 inch) Ultra HD (4K) LED Smart Google TV with 102W JBL 6 Speakers, Dolby Vision and ...","₹42,990",,,34 Ratings & 8 Reviews
KODAK CA PRO 108 cm (43 inch) Ultra HD (4K) LED Smart Android TV with Dolby MS12 & Dolby Digital Plus,"₹22,999",,,"19,336 Ratings & 5,756 Reviews"
Cellecor 80 cm (32 inch) Full HD LED Smart Android TV,"₹9,599",,,
Adsun 80 cm (32 inch) HD Ready LED Smart Android Based TV,"₹8,264",,,"12,973 Ratings & 1,852 Reviews"
iFFALCON by TCL F52 108 cm (43 inch) Full HD LED Smart Android TV,"₹18,999",,,86 Ratings & 6 Reviews
KODAK CA Series 108 cm (43 inch) Ultra HD (4K) LED Smart Android TV with Dolby Digital Plus & DTS TruS...,"₹20,999",,,"19,336 Ratings & 5,756 Reviews"
Cellecor 80 cm (32 inch) Full HD LED Smart Android TV,"₹10,999",,,
Adsun 80 cm (32 inch) HD Ready LED TV,"₹7,299",,,"12,973 Ratings & 1,852 Reviews"
HUIDI 80 cm (32 inch) HD Ready LED TV with Bezel Less Display,"₹6,799",,,"6,052 Ratings & 702 Reviews"
TCL S6500 Series 108 cm (43 inch) Full HD LED Smart Android TV,"₹19,990",,,"1,646 Ratings & 160 Reviews"
LG 139.7 cm (55 inch) Ultra HD (4K) LED Smart TV,"₹52,080",,,9 Ratings & 4 Reviews
Hisense E4G Series 80 cm (32 inch) HD Ready LED Smart Android TV with DTS Virtual X,"₹11,999",,,727 Ratings & 132 Reviews
Cellecor 80 cm (32 inch) HD Ready LED TV,"₹8,399",,,
Dyanora Sigma 108 cm (43 inch) Full HD LED Smart Linux TV with 40 Watt Box Speakers & Bezel-Less Desig...,"₹14,499",,,51 Ratings & 7 Reviews
SAMSUNG 109 cm (43 inch) Full HD LED Smart Tizen TV,"₹27,850",,,
TOSHIBA M550LP Series 139 cm (55 inch) QLED Ultra HD (4K) Smart Google TV With Bass Woofer and REGZA E...,"₹46,990",,,176 Ratings & 40 Reviews
,,,,
,,,,
Adsun 80 cm (32 inch) HD Ready LED TV,"₹7,299",,,"12,973 Ratings & 1,852 Reviews"
Adsun 60 cm (24 inch) HD Ready LED TV,"₹5,499",,,"12,973 Ratings & 1,852 Reviews"
LG OLED A1 Series 139 cm (55 inch) OLED Ultra HD (4K) Smart WebOS TV,"₹99,999",,,165 Ratings & 32 Reviews
Compaq 108 cm (43 inch) Full HD LED Smart Android TV,"₹20,999",,,328 Ratings & 71 Reviews
Blaupunkt Cybersound 108 cm (43 inch) Ultra HD (4K) LED Smart Android TV with Dolby MS12 & 50W Speaker...,"₹24,999",,,"4,535 Ratings & 1,161 Reviews"
MOTOROLA ZX3 108 cm (43 inch) Ultra HD (4K) LED Smart Android TV with Dolby Atmos and Dolby Vision,"₹31,999",,,"1,553 Ratings & 258 Reviews"
Adsun Frameless 80 cm (32 inch) HD Ready LED Smart Android Based TV,"₹8,399",,,"12,973 Ratings & 1,852 Reviews"
Mi 5A 80 cm (32 inch) HD Ready LED Smart Android TV with Dolby Audio (2022 Model),"₹13,999",,,"3,23,119 Ratings & 30,714 Reviews"
iFFALCON by TCL 79.97 cm (32 inch) HD Ready LED TV,"₹7,999",,,"1,462 Ratings & 143 Reviews"
TCL S5205 79.97 cm (32 inch) HD Ready LED Smart Android TV,"₹13,490",,,37 Ratings & 7 Reviews
Adsun 80 cm (32 inch) HD Ready LED Smart Android Based TV,"₹8,264",,,"12,973 Ratings & 1,852 Reviews"
Adsun Smart Series 60 cm (24 inch) HD Ready LED Smart Android Based TV,"₹6,649",,,"12,973 Ratings & 1,852 Reviews"
Coocaa 106 cm (42 inch) Full HD LED Smart Android TV with HDR 10 and Dolby Audio,"₹17,999",,,968 Ratings & 184 Reviews
SONY BRAVIA 80 cm (32 inch) HD Ready LED Smart Linux based TV,"₹23,999",,,"4,458 Ratings & 758 Reviews"
KODAK X900 80 cm (32 inch) HD Ready LED TV,"₹7,499",,,"15,107 Ratings & 2,377 Reviews"
Coocaa 100 cm (40 inch) Full HD LED Smart Coolita TV with Dolby Audio and Eye Care Technology,"₹15,999",,,"17,877 Ratings & 2,745 Reviews"
"Dyanora 80 cm (32 inch) HD Ready LED TV with Noise Reduction, Cinema Zoom, Powerful Audio Box Speakers","₹7,399",,,"3,616 Ratings & 468 Reviews"
Cellecor 80 cm (32 inch) Full HD LED Smart Android TV,"₹10,999",,,
TCL P715 108 cm (43 inch) Ultra HD (4K) LED Smart Android TV with Full Screen & Handsfree Voice Contro...,"₹25,990",,,"1,027 Ratings & 109 Reviews"
Nokia 109 cm (43 inch) Ultra HD (4K) LED Smart Android TV with Dolby Atmos and Dolby Vision,"₹27,999",,,"1,322 Ratings & 177 Reviews"
"Dyanora 60 cm (24 inch) HD Ready LED Smart Android Based TV with Noise Reduction, Android 9.0, Powerfu...","₹6,599",,,"3,616 Ratings & 468 Reviews"
Cellecor 80 cm (32 inch) Full HD LED Smart Android TV,"₹9,599",,,
Blaupunkt Cyber Sound 164 cm (65 inch) Ultra HD (4K) LED Smart Android TV with Dolby Atmos & Dolby Vis...,"₹49,999",,,"4,535 Ratings & 1,161 Reviews"
SAMSUNG 80 cm (32 inch) HD Ready LED Linux based TV,"₹13,390",,,98 Ratings & 3 Reviews
,,,,
,,,,
Hyundai 60 cm (24 inch) HD Ready LED TV,"₹8,999",,,16 Ratings & 3 Reviews
SONY 108 cm (43 Inch) Ultra HD (4K) LCD Smart Google TV,"₹64,900",,,
Mi 5A 80 cm (32 inch) HD Ready LED Smart Android TV with Dolby Audio (2022 Model),"₹13,999",,,"3,23,119 Ratings & 30,714 Reviews"
Adsun 80 cm (32 inch) HD Ready LED Smart Android Based TV,"₹8,264",,,"12,973 Ratings & 1,852 Reviews"
Coocaa Frameless 164 cm (65 inch) Ultra HD (4K) LED Smart Google TV with HDR 12 Dolby Audio and Eye ca...,"₹53,999",,,39 Ratings & 8 Reviews
Hisense U6G Series 164 cm (65 inch) QLED Ultra HD (4K) Smart Android TV Full Array Local Dimming,"₹71,990",,,514 Ratings & 94 Reviews
Adsun 80 cm (32 inch) HD Ready LED TV,"₹7,299",,,"12,973 Ratings & 1,852 Reviews"
Adsun 60 cm (24 inch) HD Ready LED TV,"₹5,499",,,"12,973 Ratings & 1,852 Reviews"
Blaupunkt Cyber Sound 164 cm (65 inch) Ultra HD (4K) LED Smart Android TV with Dolby Atmos & Dolby Vis...,"₹49,999",,,"4,535 Ratings & 1,161 Reviews"
SAMSUNG 108 cm (43 inch) Full HD LED Smart Tizen TV,"₹30,990",,,4 Ratings & 0 Reviews
SAMSUNG 80 cm (32 inch) HD Ready LED TV,"₹13,990",,,"7,116 Ratings & 679 Reviews"
Nokia 140 cm (55 inch) Ultra HD 4K QLED Smart Android TV with Sound by JBL and Powered by Harman Audio...,"₹54,999",,,"2,439 Ratings & 402 Reviews"
Cellecor 80 cm (32 inch) Full HD LED Smart Android TV,"₹9,599",,,
Adsun Smart Series 60 cm (24 inch) HD Ready LED Smart Android Based TV,"₹6,649",,,"12,973 Ratings & 1,852 Reviews"
LG All-in-One 80 cm (32 inch) HD Ready LED Smart WebOS TV,"₹17,190",,,"20,557 Ratings & 2,295 Reviews"
KODAK 164 cm (65 inch) QLED Ultra HD (4K) Smart Google TV With Dolby Atmos & Dolby Vision,"₹59,999",,,338 Ratings & 82 Reviews
Adsun Frameless 80 cm (32 inch) HD Ready LED Smart Android Based TV,"₹8,399",,,"12,973 Ratings & 1,852 Reviews"
Cellecor 80 cm (32 inch) Full HD LED Smart Android TV,"₹10,999",,,
SAMSUNG The Serif Series 123 cm (49 inch) QLED Ultra HD (4K) Smart Tizen TV,"₹63,741",,,40 Ratings & 3 Reviews
Infinix Zero 138 cm (55 inch) QLED Ultra HD (4K) Smart Android TV,"₹39,999",,,109 Ratings & 32 Reviews
SAMSUNG 7 125 cm (50 inch) Ultra HD (4K) LED Smart Tizen TV,"₹46,650",,,5 Ratings & 0 Reviews
Mi 4A Horizon Edition 108 cm (43 inch) Full HD LED Smart Android TV,"₹24,999",,,"37,243 Ratings & 3,271 Reviews"
Dyanora Sigma 108 cm (43 inch) Full HD LED Smart Linux TV with 40 Watt Box Speakers & Bezel-Less Desig...,"₹14,499",,,51 Ratings & 7 Reviews
BeethoSOL 80 cm (32 inch) HD Ready LED Smart Android TV,"₹7,999",,,214 Ratings & 24 Reviews
,,,,
,,,,
Coocaa Frameless 80 cm (32 inch) HD Ready LED Smart Google TV with HDR 13 Dolby Audio and Eye care tec...,"₹11,999",,,20 Ratings & 5 Reviews
Sansui 140 cm (55 inch) Ultra HD (4K) LED Smart Android TV with Dolby Audio and DTS (Mystique Black) (...,"₹33,569",,,449 Ratings & 76 Reviews
Mi 5A 80 cm (32 inch) HD Ready LED Smart Android TV with Dolby Audio (2022 Model),"₹13,999",,,"3,23,119 Ratings & 30,714 Reviews"
Adsun 80 cm (32 inch) HD Ready LED Smart Android Based TV,"₹8,264",,,"12,973 Ratings & 1,852 Reviews"
KODAK 7XPRO Series 106 cm (42 inch) Full HD LED Smart Android TV,"₹16,999",,,"36,023 Ratings & 7,918 Reviews"
LG UQ8020 164 cm (65 inch) Ultra HD (4K) LED Smart WebOS TV 2022 Edition,"₹77,990",,,"1,685 Ratings & 241 Reviews"
LG Nanocell 108 cm (43 inch) Ultra HD (4K) LED Smart WebOS TV 2022 Edition,"₹39,990",,,587 Ratings & 85 Reviews
KODAK 7XPro 126 cm (50 inch) Ultra HD (4K) LED Smart Android TV with 40W Sound Output & Bezel-Less Des...,"₹24,999",,,"6,056 Ratings & 1,380 Reviews"
Adsun 80 cm (32 inch) HD Ready LED TV,"₹7,299",,,"12,973 Ratings & 1,852 Reviews"
Adsun 60 cm (24 inch) HD Ready LED TV,"₹5,499",,,"12,973 Ratings & 1,852 Reviews"
MOTOROLA Revou 2 127 cm (50 inch) Ultra HD (4K) LED Smart Android TV with Dolby Atmos and Dolby Vision,"₹33,999",,,"1,304 Ratings & 186 Reviews"
iFFALCON by TCL F53 100 cm (40 inch) Full HD LED Smart Android TV with Android 11,"₹16,999",,,848 Ratings & 106 Reviews
Cellecor 80 cm (32 inch) Full HD LED Smart Android TV,"₹9,599",,,
Adsun Frameless 80 cm (32 inch) HD Ready LED Smart Android Based TV,"₹8,399",,,"12,973 Ratings & 1,852 Reviews"
Mi 4A Horizon Edition 80 cm (32 inch) HD Ready LED Smart Android TV with 20W Powerful Audio & Bezel-le...,"₹16,499",,,"37,243 Ratings & 3,271 Reviews"
SONY Bravia 80 cm (32 inch) HD Ready LED Smart Google TV,"₹26,990",,,30 Ratings & 3 Reviews
SAMSUNG 80 cm (32 Inch) HD Ready LED Smart Tizen TV,"₹21,850",,,
SAMSUNG Crystal 4K Pro 138 cm (55 inch) Ultra HD (4K) LED Smart Tizen TV with Voice Search,"₹47,990",,,"14,075 Ratings & 1,510 Reviews"
Adsun Smart Series 60 cm (24 inch) HD Ready LED Smart Android Based TV,"₹6,649",,,"12,973 Ratings & 1,852 Reviews"
Cellecor 80 cm (32 inch) Full HD LED Smart Android TV,"₹10,999",,,
"Coocaa 109 cm (43 inch) Ultra HD (4K) LED Smart Android TV with Google Assistant, HDR 10 and Dolby Aud...","₹22,999",,,"2,811 Ratings & 630 Reviews"
KODAK 126 cm (50 inch) QLED Ultra HD (4K) Smart Google TV With Dolby Atmos & Dolby Vision,"₹33,999",,,338 Ratings & 82 Reviews
Cellecor 80 cm (32 inch) HD Ready LED TV,"₹8,399",,,
Dyanora Sigma 108 cm (43 inch) Full HD LED Smart Linux TV with 40 Watt Box Speakers & Bezel-Less Desig...,"₹14,499",,,51 Ratings & 7 Reviews
,,,,
,,,,
